"","F1T1","F2T1","F3T1","F4T1","F5T1","S1T1","S2T1","S3T1","S4T1","S5T1","S6T1","S7T1","M1T1","M2T1","M3T1","M4T1","M5T1","M6T1","M7T1","M8T1","M9T1","M10T1","H1","H2","H3","H4","H5","H6","H7","H8"
"FHL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0705000001186718,0.342699999806154,0.237799999934128,0.62919999983291,0.897600000288965,0.527500000418672,0.261100000397154,0.226699999726584,0.300900000226998,0.513200000356797,NA,NA,NA,NA,NA,NA,NA,NA
"ALCAM",-0.0238999993515365,-0.00499999975080365,-0.00820000056583393,0.289000000385531,0.120799999466967,0.0750000000618574,-0.199299999261247,NA,NA,NA,NA,NA,0.405699999752832,0.442399999847049,0.238400000398486,0.717200000035755,0.0644000003434897,-0.544899999680502,-0.202799999565063,-0.0241000003225308,-0.102899999445234,-0.565100001021838,0.611099999800175,0.309000000251648,0.165800000104489,-0.235499999628387,0.230200000061612,0.513799999980057,0.249599999413152,0.526900000340383
"APOF",-0.022599999439663,0.226599999939868,0.062399999456778,0.530500000024537,-0.113000000177398,-0.0032000001791307,0.161999999953952,0.068200000514531,0.135400000035911,-0.413600000685306,-0.218599999857514,-0.0600999992594672,0.41969999946408,0.284200000173222,0.144100000318404,0.582000000199799,0.457599999591088,0.239100000460555,-0.365399999922363,-0.368999999726523,-0.246600000349091,0.423400000453792,0.728000000288226,1.11339999996193,0.673899999567735,1.50399999981743,0.908199999858658,0.950599999853858,1.50210000008366,1.42459999974103
"ENPP2",-0.26620000010946,0.168700000186846,0.127399999857813,-0.846299999417539,0.250299999535118,0.163699999963603,0.560799999574012,-0.595300000514616,-0.160599999770571,-0.115500000399465,0.541000000362159,0.216099999545041,-0.27359999965175,0.0193000001186258,-0.241400000242558,0.143500000464898,-0.100199999481122,0.420600000069383,0.154999999703684,0.346400000026553,0.116000000206634,0.124400000602447,NA,NA,NA,NA,NA,NA,NA,NA
"COTL1",NA,NA,0.516499999715131,0.0669000000758968,0.0128999998010634,0.177699999904866,-0.262500000737855,0.874600000093228,-0.244799999908832,0.550300000331426,-0.939400000455734,-0.364200000316594,0.535900000292539,0.321399999559871,0.64490000012375,0.444900000354559,0.758099999976887,0.33159999966988,0.261399999747239,0.731900000364346,0.438199999719621,0.533499999803754,NA,NA,NA,NA,NA,NA,NA,NA
"DAG1",-0.288499999213729,-0.0202000001258091,0.0676999998274078,0.049199999709624,-0.0930000007033813,-0.046600000003681,0.434600000306591,-0.20899999930793,0.141300000631627,-0.0264000001368069,0.051599999603515,0.0169999999616052,0.16030000056937,0.765100000244453,-0.0525999998283832,0.314000000111479,0.54250000002336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DSG2",-0.170100000684865,0.347700000537262,-0.117400000126745,-0.147100000578158,-0.42209999939125,-0.221300000034996,0.702600000207592,-0.199500000693699,0.172200000112812,0.0539000004085359,0.116399999810551,0.201600000092413,0.161500000218655,0.0765000002021085,0.0335000005441656,0.270599999565896,-0.140499999429887,0.439600000000274,0.0909999994671136,0.456899999665701,0.333499999897137,0.151400000516167,0.615399999990417,0.247500000523952,0.356699999445321,0.481899999541526,0.367300000543013,0.111399999425786,0.604399999545783,0.451699999656109
"CTTN",-0.363299999145352,-0.363400000424518,0.178999999858963,0.269699999916033,NA,NA,NA,NA,NA,NA,NA,NA,-0.509800000652399,-0.0555000001396116,0.136400000134256,-0.0965999997849535,-0.17249999987375,-0.277099999446718,-0.512000000660812,-0.197800000442465,-0.118199999987739,-0.522199999359623,NA,NA,NA,NA,NA,NA,NA,NA
"SPARCL1",-0.0770000001957707,0.12429999952741,0.170800000530379,-0.180200000251045,-0.228399999440856,-0.118000000311102,0.164999999963315,-0.0437000003318535,0.304500000185897,-0.013299999832185,0.326699999960464,0.309200000483181,0.142799999595725,-0.0379999993234486,0.068200000514531,0.110899999790977,-0.204400000640926,0.453700000190183,-0.149899999516019,0.314000000111479,2.38140000013026,2.30530000009043,0.822900000349863,0.595000000417558,0.72640000034825,0.677400000107458,0.547599999810922,0.618099999830083,1.28960000021612,0.561900000085555
"HABP2",0.167499999868472,0.210900000420548,-0.143399999628712,0.165299999740112,0.370100000207375,0.386299999621049,0.519499999893529,0.260900000281682,0.311599999475433,0.162400000571827,0.348900000236702,0.188700000556389,-0.199700000032496,0.14889999991848,-0.509000000212202,-0.187200000588681,-0.219300000108838,0.40939999990023,0.269300000003118,-0.0352999996718023,0.237999999680457,-0.0325000003102118,-0.498000000218561,-0.391700000286017,-0.442400000774714,-0.26860000022215,-0.532500000760411,-0.316800000829132,-0.519599998986628,-0.652900000102725
"ITIH4",-0.184999999872788,0.100800000336963,-0.157300000646765,0.146800000444895,-0.104700000340709,0.0618999993524984,0.0744999998729288,0.0846999993416994,0.0997999993486728,-0.188099999585526,0.10140000027853,-0.0998999995315166,0.26850000027355,0.200000000003724,0.0920999993307758,0.322599999995558,0.0893999994923756,0.302800000544504,-0.092200000677077,0.0433999996190636,0.104700000084482,0.00170000038283077,0.366100000412801,0.0323999995864088,-0.0157000007074358,0.267000000000597,0.157000000352342,0.108099999462146,0.127199999429475,0.197799999436043
"GANAB",0.29199999952842,0.281900000267952,0.127399999857813,-0.321100000217915,-0.236800000053699,0.134500000317729,0.292899999444189,-0.196900000730004,-0.540599999289067,-1.10259999987763,-0.862199998784618,-1.1395999999039,-0.117200000215147,0.300799999900051,-0.202199999497208,0.219500000607688,-0.0234000001563482,-0.585099998995977,-0.636099998986639,-0.736500001007154,-1.30629999946668,-0.66369999924072,-0.333599999151699,-0.629499999577317,-0.875299999381704,-1.2103999998608,-0.941299998716429,-1.20170000001015,-0.820600000118695,-0.384400000592046
"LTBP1",0.44639999986049,-0.359599999822406,0.304700000289944,0.0722000004163472,1.10470000008448,0.855299999967802,0.850799999883408,NA,NA,NA,NA,NA,0.243500000360243,0.114299999715077,0.925700000172004,0.201900000055718,0.872799999885791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LTBP2",-0.957400000232826,0.187699999586839,-0.503400000919349,0.48349999966185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253599999398691,0.0754999995351134,-0.0399000000776581,0.395800000546366,-0.538299999452397,-0.291300000096412,-0.0431999993857369,0.179899999375798
"LASP1",NA,NA,0.264300000598323,-0.205399999494153,0.0437999997980669,-0.132099999234906,-0.266000000650386,0.823000000274759,0.0618000006490548,0.288099999804424,-0.0487000000777245,0.0908999996244868,-0.361799999150364,-0.0917000006148106,0.0784999998907764,-0.0454999998343433,0.446799999605994,-1.45979999869286,-1.50659999876294,-1.40139999944278,-1.74450000164433,-1.73750000004919,NA,NA,NA,NA,NA,NA,NA,NA
"GPNMB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18379999972582,-0.46480000051006,-0.70129999936149,-0.248299999561711,-0.468400000558418,NA,NA,NA,NA,NA,0.326600000471094,0.256499999730184,0.556899999893013,0.770600000172303,1.38180000018796,0.182200000303031,0.40190000040035,0.840400000041368
"SUZ12",-0.135600000634976,-0.189800000158993,NA,NA,NA,NA,NA,0.209400000210222,-0.516399999766054,-0.327300000470095,-0.129699999836049,-0.502000000393048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POSTN",0.0593000000153935,0.393699999602456,-0.231400000061525,-0.288599999814668,0.00129999936651439,-0.299599999578144,0.0306999998808622,-0.204099999653301,-0.0377999993564457,0.124500000040006,0.0182999998621086,0.364299999978866,-0.046600000003681,0.0895000003078754,-0.0217000005999643,0.143800000243355,-0.632299999359126,-0.00740000029668243,0.353999999770799,0.28759999959785,0.0278000006463631,-0.0866999997559762,0.764500000371613,0.225100000204301,0.515999999635095,0.802500000362464,-0.00969999954762857,0.310100000108389,0.566199999915422,0.557300000481999
"P2RY6",NA,NA,NA,NA,-0.10479999981851,0.833100000204574,3.09999999995115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PDIA6",-0.238299999939392,-0.196700000591704,0.319299999930847,-0.380899999668837,0.645900000066434,0.0936999999327999,-0.570000000927031,0.203800000146457,-0.0558999995590054,0.241899999572121,-0.0281999993706427,0.0216999994663573,-0.836000000250035,-0.27359999965175,-0.558100000763109,0.107400000508564,-0.319900000804536,0.726499999868716,0.213899999783275,0.244300000221122,0.417200000018979,0.751400000370333,NA,NA,NA,NA,NA,NA,NA,NA
"PCOLCE",0.233999999643077,0.817900000039196,0.227199999475906,0.15009999970291,-0.407699999648446,0.0207999996676585,0.307300000112881,0.00990000052213719,0.243299999923545,0.0311999999838261,0.157200000543176,0.601699999860363,-0.117299999835004,0.0191999998167973,-0.375799999253922,0.312699999935718,0.161900000199643,0.705299999906611,0.448599999995044,0.384399999791931,0.498899999605885,1.25970000022809,0.674400000145167,0.66419999981235,0.177300000266227,0.0769999999069113,-0.00709999999293412,0.221400000524865,0.736000000206936,0.320799999651253
"PCM1",-0.358999999280828,-0.145400000179568,-0.016800000700974,0.347999999687223,0.0287000001174587,0.0644999997292048,-0.0403999993772284,-0.059199999714909,0.222000000261652,0.179899999375798,-0.0400000006115244,0.21519999966861,0.485700000343954,0.233399999525665,0.668099999998098,0.81749999984169,-0.208200000443816,-0.019400000653918,-0.332399999350651,0.431399999973023,0.20540000046993,0.0117000004354424,0.661600000446748,0.21050000005382,0.609799999837112,0.444200000082055,0.513000000285221,0.912600000049887,0.75949999975054,0.476700000414088
"PON3",-0.925199998944899,-0.240499999397258,-0.213499999974481,-0.362800000227995,-0.42780000085119,-0.486799999643203,-0.196000000221061,-0.211600000523504,-0.0602000004490254,-0.124699999468596,-0.147100000578158,0.217600000125683,-0.221099999166411,-0.0555000001396116,0.0370999997360184,0.1748000000574,-0.358599999386509,-0.02349999991749,0.221500000075756,0.410200000184885,0.234600000471116,0.0281000006034144,0.926300000088426,1.20109999973968,0.99929999976103,1.41349999981154,1.08060000009363,1.36660000027237,0.965499999657591,1.24519999991198
"PCBP1",NA,NA,0.73120000020286,0.302099999722847,NA,NA,NA,0.689899999975431,0.428200000056162,0.541000000362159,0.202999999589205,-0.0156000005216734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RSU1",-0.0891999995754352,-0.100399999568159,1.18110000002854,0.0815000004093028,0.658399999651269,0.170500000227987,-0.0182000005615017,0.852700000322508,0.249899999631709,1.01280000031278,-0.0127999995006112,0.309600000435924,0.100800000336963,0.464400000101441,1.29389999972028,0.782999999813131,1.46329999992363,0.407500000228765,0.489199999979729,0.70490000026254,0.714199999672209,0.757400000229401,NA,NA,NA,NA,NA,NA,NA,NA
"FCN2",0.321099999617071,0.857300000172137,-0.141400000632598,-0.677599999424923,0.327700000060066,0.306899999801662,0.868999999981055,-0.719900001055051,0.178099999608905,0.406400000076808,0.0149000003470335,-0.369800000443798,-1.07990000109389,0.241399999878396,-0.61649999903753,-0.272800000541969,0.387499999520988,0.15980000010089,0.317800000425262,-0.324799999427286,-0.187000000391475,0.391600000207631,-0.391299999490737,-0.370299999911812,-0.652400000572057,-0.475199999284216,-0.553499999068908,-0.203200000429807,-0.679800000297581,-0.51229999942638
