"","C1","C2","C3","C4","C5","C6","M1","M4","S1","S2","S3","H1","H2","H3","H4","H5","M2","M3"
"P39060",-8.53480618233702,-8.09836652671063,NA,NA,NA,-10.6874720832789,NA,NA,-9.27595818659315,NA,-9.53430288245463,NA,NA,NA,NA,-9.26511268618425,-8.80720156622,-10.2479275134436
"A0A0G2JMI3",-9.216518037584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q15113",-9.21235884345093,-8.78953364497036,-10.3032915055202,NA,NA,NA,-9.96681441326058,-9.30599901832223,NA,NA,-9.53430288245463,NA,NA,-10.0187962927426,-10.1531900911541,-7.6801501854631,NA,-10.2479275134436
"A0A0C4DH33",-9.216518037584,-9.35491961433521,-9.00610798907544,NA,-9.46423982473612,NA,NA,-9.53152071007396,-8.44467198734998,NA,NA,NA,NA,NA,NA,NA,-9.39216406694115,-8.66296501272243
"A0A075B6R9",-8.52962213293778,-7.89117768753218,-9.34477144328492,-8.67813899316589,-8.46423982473612,-8.23469700281878,-9.01387249980899,-8.30599901832223,-8.17095770425793,-8.55269491437412,-8.21237478756727,-7.83053784263579,NA,-7.84887129130029,-10.1531900911541,-8.26511268618425,-8.0702359720538,-7.44057259138598
"Q14766",-8.21443694168287,-8.53915881110803,NA,NA,NA,NA,-8.33630261053732,NA,-8.46058198345458,NA,NA,NA,NA,NA,NA,-7.94318459129689,NA,NA
"Q9UNN8",-9.95070950379069,-8.97146846383882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.2479275134436
"P09172",-8.95070950379069,-8.51029252336984,-8.51949317488385,-10.180290355268,-7.76345225968776,-7.04654098716144,-8.34839210359915,-9.30599901832223,-7.79115759007638,-8.02599849422153,-10.4374392876578,NA,-8.48035745749184,-8.69686819785524,-7.69375847251676,NA,-7.22223906549885,NA
"P63104",-9.5218808196762,-10.1241213118292,-9.31355021866197,-5.65834990488245,NA,NA,NA,NA,NA,NA,-8.43743928765779,-8.15246593752315,-7.15842936260448,NA,NA,NA,NA,NA
"Q16851",-9.5218808196762,-8.65892156755287,-10.3447714432849,-8.67813899316589,-10.4642398247361,-10.2214144984658,NA,NA,-8.93915939908086,-10.0703126520103,NA,NA,NA,NA,NA,NA,-8.80720156622,NA
