"","HD10","HD1","HD2","HD3","HD4","HD5","HD6","HD7","HD8","HD9","Pz111","Pz12","PZ148","Pz15","Pz16","PZ178","Pz25","PZ285","Pz28","PZ387","PZ390","PZ409","PZ49","PZ55","PZ69","Pz7","PZ90","PZ93","PZ94","PZ95"
"B2R815;A0A024R6I9;P29622",2.907055,2.8754875,2.82666,4.03124,4.296235,3.34685,4.154565,3.95321,3.470015,3.158995,3.08672,3.10447,3.75937,1.599165,1.629,3.26663,2.932905,-0.439443,3.700225,0.8216705,1.54383,1.54886,4.349705,3.57767,5.04428,4.21127,3.857265,2.778315,2.01685,3.46462
"A0A024R6N9;P05154;B4DPC7;B3KTV6;B4DDH1;G3V5Q9",0.482026,-0.494627,-2.16284,1.169044,0.9070945,-4.253435,-2.297755,0.4331225,-0.43544,-4.23005,0.00186255,-0.884598,0.5215475,-1.3767255,-1.10198,0.411943,-0.8135285,-6.827045,-0.3955925,-2.911915,-0.697128,-0.903178,-0.6905715,0.364825,-0.04298115,-0.24202375,-0.818545,-0.2616345,-0.960526,-0.12594665
"A0A024R6P0;B3KS79;P01011;G3V595",7.30934,7.1199975,7.088155,7.94134,7.837165,6.599815,5.90759,7.52731,7.03322,7.260855,8.1292,7.99543,9.31872,8.70349,9.782175,8.751575,10.38235,7.89342,10.071495,7.463225,6.672745,5.12889,8.860135,10.09035,9.0903,9.884365,9.066645,7.27782,9.165165,9.504
"A0A024R8G4;Q76LX8",-4.31873,-4.0378975,-4.85102,-4.267385,-2.338575,-5.74435,-6.19913,-5.663525,-5.51831,-4.55102,-4.42867,-3.030995,-4.774815,-4.061545,-2.749705,-5.01636,-4.98249,-5.120985,-2.126645,-6.581755,-6.035805,-5.96742,-3.640015,-1.344575,-4.229315,-1.07423,-4.549185,-5.352875,-2.499535,-4.98848
"B4DQA0;Q8WW79;A0A024R8Z0;P14151;A0A0H5AY34",-0.8219705,-0.39532615,-0.4954515,-0.052308,0.24864975,-3.341095,-5.541695,-0.991999,-0.8899695,-1.20573,-1.37158,-1.674305,-0.731035,-1.687515,0.590544,-0.4771285,-0.002051835,-7.61704,0.821086,-3.28034,-5.60181,-4.988035,-3.823685,-0.3679245,0.1933775,0.03837805,-1.242702,-2.102265,-1.43694,-0.882033
"A0A0U1RR20;A0A024R930;Q92954;B3KQ20",-1.98063,-2.68301,-4.422155,-1.489355,-2.20281,-4.349345,-1.678265,-2.892845,-3.124015,-2.15565,-4.09803,-1.69656,-0.033112,-0.4858685,-0.449001,-0.9545475,-0.9082745,-2.31019,0.1389684,-2.309175,-0.3663242,-2.73294,-0.1383865,-0.1021345,-2.19352,0.2179115,-2.07682,-3.053245,-1.479995,-3.015105
"A0A024R944;P01008;A0A0K0Q2Z1",6.024945,5.871135,5.757855,6.82815,6.61274,5.68633,5.44996,6.508095,5.90907,5.5826,6.25953,5.58901,6.380635,5.71931,6.604485,6.226525,7.173425,5.463245,7.270925,5.32583,5.685095,4.77417,6.57088,7.38694,6.85476,7.25721,6.278355,5.53926,6.44017,6.778225
"A0A024R962;A0A024R984",6.639425,6.38585,5.644875,7.03901,6.87026,5.091815,5.412635,6.130475,5.791055,5.93354,6.23196,5.59775,6.740625,6.121945,6.608045,6.197065,7.208665,5.399625,7.441225,4.398305,4.660055,3.069005,6.559985,7.85783,5.981555,7.118385,6.6186,5.535065,6.98075,6.73017
"A0A024RAA7;P02747",5.34406,4.9814775,4.798625,5.75671,5.542775,4.491045,4.41963,5.1731,4.58931,4.83893,5.20105,4.32546,5.379115,5.10781,6.086455,5.234715,6.55365,3.49017,6.689015,3.29114,2.38723,2.15453,5.4148,6.42213,6.22651,6.314465,5.703155,4.594265,5.200315,6.26537
"D6R934;A0A024RAB9;P02746;A0A0A0MSV6",5.59117,5.1774925,4.751655,5.736815,5.61564,4.39901,4.310185,5.246805,5.15921,4.838335,5.344935,3.505315,5.1822,4.613675,5.748005,5.44329,6.53419,3.73445,6.454555,3.94745,3.530585,3.01213,5.287255,6.45627,6.135955,6.01143,5.25575,4.629545,5.102585,6.251305
