"lrp","spearman_corr","p_value","adjusted_p_value","CI_lower","CI_upper","Tot_sample_size","file"
"C1QA_CD93",-0.126373626373626,0.528352286901678,0.873821319440534,-0.481318256046396,0.268691850351093,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"C4B_CD46",0.00061050061050061,0.99878543764397,1,-0.379501556369793,0.380526142197858,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"C4B_CR1",-0.0451770451770452,0.822873994542416,1,-0.417297334519061,0.341453507188271,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"CD14_ITGB1",-0.0476190476190476,0.813400017879339,1,-0.419277674610463,0.339331314806002,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"CFH_ITGAM",-0.07997557997558,0.690804035576254,0.986218601388514,-0.445189635477667,0.31083298387623,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"COL18A1_ITGA5",0.054945054945055,0.863235584374163,1,-0.513214508555137,0.586625976866141,13,"babacic_2023_nat_comms_matrix copy 2.csv"
"COL18A1_KDR",0.380952380952381,0.050796229506034,0.249605442366729,-0.00622866354167768,0.660625782834358,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"COL3A1_DDR1",-0.199023199023199,0.31813808268849,0.675399942536083,-0.535599113483801,0.19947725047024,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"EFEMP1_EGFR",0.2997557997558,0.128726709802104,0.430264501378838,-0.0962899747038385,0.606624303388568,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"F13A1_ITGB1",0.7997557997558,2.32359489421248e-06,0.000152427825060338,0.59312827284559,0.901959636274765,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"F8_LRP1",-0.311965811965812,0.113316869518025,0.40510008939414,-0.614922191996351,0.0831611170728603,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"FBLN1_ITGB1",0.667277167277167,0.000205980870353489,0.00548034612992992,0.373866575259851,0.831526219623677,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"FGB_ITGA2B",-0.380952380952381,0.0507962295060341,0.249605442366729,-0.660625782834358,0.00622866354167767,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"FGG_ITGA2B",-0.371794871794872,0.056984888276731,0.261413193772976,-0.654671225405413,0.0167200478877039,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"GIP_DPP4",0.279120879120879,0.333132291388399,0.689384173977255,-0.304941170588208,0.699818318139277,14,"babacic_2023_nat_comms_matrix copy 2.csv"
"HLA-B_LILRB1",-0.218559218559219,0.272143185272683,0.626406770311859,-0.549744766561815,0.180148809223099,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"ICAM2_ITGAL",0.032967032967033,0.915531645846804,1,-0.507413590197944,0.552979023366522,14,"babacic_2023_nat_comms_matrix copy 2.csv"
"ICAM2_ITGB2",0.257020757020757,0.194894885739931,0.532712687689146,-0.141154031045033,0.577063614543898,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"L1CAM_CNTN1",0.841269841269841,1.64394200582433e-06,0.000126873641861266,0.669175381845328,0.923071352391189,27,"babacic_2023_nat_comms_matrix copy 2.csv"
"L1CAM_EGFR",0.628205128205128,0.000593706638218577,0.0118021683233753,0.315182155888369,0.809797589734536,27,"babacic_2023_nat_comms_matrix copy 2.csv"
